CASE_NO,ACCD_TP,Sub_bur,Eve_time,YEAR,MONTH,HOUR,Two_HOUR,Three_HOUR,WEEKDAY,Distr,Num_casual,Num_wound,Weather,Light_condition,Road_category,Speed_limit,Road_type,Acc_location,Pavement_con,Signal_classfication,Accident_type,Sex,AGE,Protect_equip,Mobile,Car_type,Move_type,Qualified,Alcohol
CG100291,2,CG,9709211208,97,9,12,7,5,7,114,0,1,3,1,2,50,1,1,2,3,15,1,4,1,4,5,1,1,1
CC032428,2,CC,9709211245,97,9,12,7,5,7,111,0,4,3,1,2,50,1,1,2,2,16,2,4,1,1,6,9,1,1
CC032428,2,CC,9709211245,97,9,12,7,5,7,111,0,4,3,1,2,50,1,1,2,2,16,1,1,4,3,8,20,3,2
CC032428,2,CC,9709211245,97,9,12,7,5,7,111,0,4,3,1,2,50,1,1,2,2,16,2,1,4,3,8,20,3,2
C7100626,2,C7,9709211400,97,9,14,8,5,7,104,0,3,3,1,2,50,2,4,2,4,17,1,4,1,1,6,9,1,1
C7100626,2,C7,9709211400,97,9,14,8,5,7,104,0,3,3,1,2,50,2,4,2,4,17,1,4,1,1,3,13,1,1
C7100626,2,C7,9709211400,97,9,14,8,5,7,104,0,3,3,1,2,50,2,4,2,4,17,2,2,4,1,8,20,3,1
CG045510,2,CG,9709211355,97,9,13,7,5,7,114,0,2,3,1,2,70,1,1,2,2,12,1,5,1,1,3,6,1,1
CG045510,2,CG,9709211355,97,9,13,7,5,7,114,0,2,3,1,2,70,1,1,2,2,12,1,3,1,1,6,9,1,1
C6100283,2,C6,9709211510,97,9,15,8,6,7,108,0,1,3,1,2,40,4,4,2,4,10,2,3,1,1,6,9,1,1
CG045510,2,CG,9709211355,97,9,13,7,5,7,114,0,2,3,1,2,70,1,1,2,2,12,1,1,4,3,8,20,3,2
CB023150,2,CB,9709210600,97,9,6,4,3,7,105,0,1,3,1,2,50,1,1,2,1,16,1,8,1,1,6,5,1,1
CB023150,2,CB,9709210600,97,9,6,4,3,7,105,0,1,3,1,2,50,1,1,2,1,16,1,6,1,1,3,9,1,1
CA019333,2,CA,9709211230,97,9,12,7,5,7,100,0,1,3,1,2,50,1,1,2,4,16,2,5,1,1,6,5,1,1
CD035803,2,CD,9709211440,97,9,14,8,5,7,112,0,2,3,1,2,60,1,1,2,1,16,2,7,4,3,8,20,3,1
CG100594,2,CG,9709211650,97,9,16,9,6,7,114,0,1,3,1,2,50,2,4,2,4,16,1,4,1,1,6,9,1,1
CC032429,2,CC,9709211945,97,9,19,10,7,7,111,0,2,3,2,2,50,1,1,2,3,16,2,3,1,1,6,9,1,1
CC032429,2,CC,9709211945,97,9,19,10,7,7,111,0,2,3,2,2,50,1,1,2,3,16,2,3,4,3,8,20,3,2
C6100306,2,C6,9709222030,97,9,20,11,7,1,108,0,1,2,2,2,50,2,2,1,4,12,1,7,1,1,3,5,1,1
CI026437,2,CI,9704131300,97,4,13,7,5,7,110,0,1,3,1,2,50,1,6,2,1,12,1,3,1,1,6,9,1,1
CG042039,2,CG,9704131305,97,4,13,7,5,7,114,0,1,3,1,2,50,1,1,2,2,16,1,5,1,1,1,9,1,1
